,user2,category,pmi,count_in_class
0,12.0,random_users,0.23733616496774643,284.0
1,13.0,random_users,0.19596929762909998,164.0
2,14.0,random_users,0.603288883747107,6.0
3,15.0,random_users,0.018326383025950806,3.0
4,17.0,random_users,0.018326383025950806,7.0
5,21.0,random_users,0.09232696446972755,10.0
6,22.0,random_users,0.17032947647100052,5.0
7,47.0,random_users,-0.26178153616678457,7.0
8,57.0,random_users,0.9187907094750364,14.0
9,59.0,random_users,0.17032947647100052,5.0
10,76.0,random_users,0.018326383025950806,9.0
11,107.0,random_users,0.28136078885974447,24.0
12,150.0,random_users,1.0183263830259508,5.0
13,224.0,random_users,0.4922575713583629,50.0
14,246.0,random_users,-0.15159861841636177,4.0
15,259.0,random_users,0.01832638302595049,4.0
16,291.0,random_users,0.4134643248670898,48.0
17,292.0,random_users,0.7552919771921569,5.0
18,293.0,random_users,1.0183263830259506,1.0
19,295.0,random_users,0.05580108844461375,39.0
20,322.0,random_users,-0.2447080228078431,5.0
21,324.0,random_users,0.21097146096834662,16.0
22,364.0,random_users,0.6963982881385883,4.0
23,380.0,random_users,0.07972692769009401,12.0
24,414.0,random_users,-0.16224586261587023,15.0
25,418.0,random_users,0.16034538789837866,48.0
26,422.0,random_users,0.26343888086248224,16.0
27,448.0,random_users,-0.3036017118614117,8.0
28,456.0,random_users,0.5588947643886533,8.0
29,509.0,random_users,1.0183263830259506,4.0
30,528.0,random_users,0.25279163666297366,10.0
31,531.0,random_users,1.0183263830259506,4.0
32,541.0,random_users,0.28136078885974447,3.0
33,544.0,random_users,-1.3036017118614116,1.0
34,573.0,random_users,-0.46710044414429114,5.0
35,586.0,random_users,0.15742199269161272,136.0
36,607.0,random_users,0.2939608256393783,23.0
37,633.0,random_users,0.46262847680998925,83.0
38,637.0,random_users,0.43336388230479445,2.0
39,648.0,random_users,0.018326383025950806,11.0
40,649.0,random_users,0.28136078885974447,3.0
41,722.0,random_users,0.01832638302595049,8.0
42,747.0,random_users,0.43336388230479445,2.0
43,761.0,random_users,0.6963982881385883,4.0
44,765.0,random_users,0.38089646241065916,9.0
45,767.0,random_users,0.532899555855709,100.0
46,785.0,random_users,0.639814759772221,10.0
47,849.0,random_users,-0.17431869491644517,7.0
48,861.0,random_users,-0.396711116252893,3.0
49,866.0,random_users,0.603288883747107,3.0
50,874.0,random_users,0.43336388230479445,46.0
51,885.0,random_users,0.34025447791331304,10.0
52,888.0,random_users,0.34025447791331304,5.0
53,897.0,random_users,-0.396711116252893,3.0
54,913.0,random_users,-0.3036017118614117,2.0
55,926.0,random_users,0.01832638302595049,1.0
56,929.0,random_users,0.3178866648848586,8.0
57,953.0,random_users,0.08544057888448775,11.0
58,977.0,random_users,1.0183263830259506,1.0
59,978.0,random_users,0.17032947647100052,5.0
60,988.0,random_users,-1.7890285390316534,1.0
61,989.0,random_users,0.2868152189518525,106.0
62,997.0,random_users,0.6963982881385883,16.0
63,1033.0,random_users,1.0183263830259506,1.0
64,1075.0,random_users,-0.4841739575032325,6.0
65,1077.0,random_users,0.01832638302595049,1.0
66,1081.0,random_users,0.15234373099763848,62.0
67,1084.0,random_users,0.43336388230479445,12.0
68,1102.0,random_users,0.22477726049337723,15.0
69,1117.0,random_users,1.0183263830259508,10.0
70,1148.0,random_users,0.01832638302595049,2.0
71,1153.0,random_users,0.22477726049337723,15.0
72,1154.0,random_users,0.25279163666297366,10.0
73,1168.0,random_users,1.0183263830259508,3.0
74,1186.0,random_users,0.17032947647100083,45.0
75,1192.0,random_users,-0.3036017118614113,18.0
76,1199.0,random_users,-1.5666361176952055,1.0
77,1293.0,random_users,0.018326383025950806,3.0
78,1317.0,random_users,-0.5666361176952055,2.0
79,1378.0,random_users,0.018326383025950806,3.0
80,1418.0,random_users,-1.3036017118614116,2.0
81,1469.0,random_users,0.43336388230479445,2.0
82,1483.0,random_users,0.7552919771921569,5.0
83,1495.0,random_users,-0.15159861841636177,4.0
84,1497.0,random_users,0.620990885480566,41.0
85,1501.0,random_users,0.43336388230479445,6.0
86,1502.0,random_users,-1.3036017118614116,1.0
87,1568.0,random_users,0.018326383025950806,3.0
88,1585.0,random_users,0.018326383025950806,15.0
89,1605.0,random_users,0.34025447791331304,70.0
90,1623.0,random_users,0.6963982881385883,8.0
91,1668.0,random_users,0.01832638302595049,4.0
